model_name,RGN,lr,wd,seed,data_seed,done,train_score,last_val_score,best_val_score,best_val_acc,conf,extra_info
convnext_b,True,0.0001,0.0005,0,9,False,,,,,,
convnext_l,True,0.0001,0.0005,0,9,False,,,,,,
swin_t,True,0.0001,0.0005,0,9,False,,,,,,
swin_s,True,0.0001,0.0005,0,9,False,,,,,,
swin_b,True,0.0001,0.0005,0,9,False,,,,,,
deit3_s,True,0.0001,0.0005,0,9,False,,,,,,
deit3_b,True,0.0001,0.0005,0,9,False,,,,,,
deit3_l,True,0.0001,0.0005,0,9,False,,,,,,
coatLite_m,True,0.0001,0.0005,0,9,False,,,,,,
coatLite_t,True,0.0001,0.0005,0,9,False,,,,,,
coatLite_s,True,0.0001,0.0005,0,9,False,,,,,,
coat_m,True,0.0001,0.0005,0,9,False,,,,,,
coat_t,True,0.0001,0.0005,0,9,False,,,,,,
